"lon","lat","company","location","industry","state","city"
-94.2088,36.3729,"Walmart","Bentonville, AR","General Merchandisers","AR","Bentonville"
-96.9489,32.814,"Exxon Mobil","Irving, TX","Petroleum Refining","TX","Irving"
-121.978,37.7799,"Chevron","San Ramon, CA","Petroleum Refining","CA","San Ramon"
-95.998,41.2524,"Berkshire Hathaway","Omaha, NE","Insurance: Property and Casualty (Stock)","NE","Omaha"
-122.032,37.323,"Apple","Cupertino, CA","Computers, Office Equipment","CA","Cupertino"
-83.0458,42.3314,"General Motors","Detroit, MI","Motor Vehicles and Parts","MI","Detroit"
-95.3698,29.7604,"Phillips 66","Houston, TX","Petroleum Refining","TX","Houston"
-73.2613,41.1408,"General Electric","Fairfield, CT","Diversified Financials","CT","Fairfield"
-83.1763,42.3223,"Ford Motor","Dearborn, MI","Motor Vehicles and Parts","MI","Dearborn"
-71.5148,42.0029,"CVS Health","Woonsocket, RI","Food and Drug Stores","RI","Woonsocket"
-122.419,37.7749,"McKesson","San Francisco, CA","Wholesalers: Health Care","CA","San Francisco"
-96.797,32.7767,"AT&T","Dallas, TX","Telecommunications","TX","Dallas"
-98.4936,29.4241,"Valero Energy","San Antonio, TX","Petroleum Refining","TX","San Antonio"
-93.4687,44.9212,"UnitedHealth Group","Minnetonka, MN","Health Care: Insurance and Managed Care","MN","Minnetonka"
-74.0059,40.7128,"Verizon","New York, NY","Telecommunications","NY","New York"
-75.4591,40.0757,"AmerisourceBergen","Chesterbrook, PA","Wholesalers: Health Care","PA","Chesterbrook"
-77.0369,38.9072,"Fannie Mae","Washington, DC","Diversified Financials","DC","Washington"
-122.033,47.5301,"Costco","Issaquah, WA","Specialty Retailers: Other","WA","Issaquah"
-122.143,37.4419,"HP","Palo Alto, CA","Computers, Office Equipment","CA","Palo Alto"
-84.512,39.1031,"Kroger","Cincinnati, OH","Food and Drug Stores","OH","Cincinnati"
-74.0059,40.7128,"JP Morgan Chase","New York, NY","Commercial Banks","NY","New York"
-90.1994,38.627,"Express Scripts Holding","St. Louis, MO","Health Care: Pharmacy and Other Services","MO","St. Louis"
-80.8431,35.2271,"Bank of America Corp.","Charlotte, NC","Commercial Banks","NC","Charlotte"
-73.714,41.1265,"IBM","Armonk, NY","Information Technology Services","NY","Armonk"
-83.6499,41.0442,"Marathon Petroleum","Findlay, OH","Petroleum Refining","OH","Findlay"
-83.1141,40.0992,"Cardinal Health","Dublin, OH","Wholesalers: Health Care","OH","Dublin"
-87.6298,41.8781,"Boeing","Chicago, IL","Aerospace and Defense","IL","Chicago"
-74.0059,40.7128,"Citigroup","New York, NY","Commercial Banks","NY","New York"
-122.332,47.6062,"Amazon.com","Seattle, WA","Internet Services and Retailing","WA","Seattle"
-122.419,37.7749,"Wells Fargo","San Francisco, CA","Commercial Banks","CA","San Francisco"
-122.122,47.674,"Microsoft","Redmond, WA","Computer Software","WA","Redmond"
-84.512,39.1031,"Procter & Gamble","Cincinnati, OH","Household and Personal Products","OH","Cincinnati"
-84.388,33.749,"Home Depot","Atlanta, GA","Specialty Retailers: Other","GA","Atlanta"
-87.6298,41.8781,"Archer Daniels Midland","Chicago, IL","Food Production","IL","Chicago"
-87.8445,42.1711,"Walgreens","Deerfield, IL","Food and Drug Stores","IL","Deerfield"
-93.265,44.9778,"Target","Minneapolis, MN","General Merchandisers","MN","Minneapolis"
-74.4518,40.4862,"Johnson & Johnson","New Brunswick, NJ","Pharmaceuticals","NJ","New Brunswick"
-86.1581,39.7684,"Anthem","Indianapolis, IN","Health Care: Insurance and Managed Care","IN","Indianapolis"
-74.0059,40.7128,"MetLife","New York, NY","Insurance: Life, Health (stock)","NY","New York"
-122.084,37.3861,"Google","Mountain View, CA","Internet Services and Retailing","CA","Mountain View"
-88.9937,40.4842,"State Farm Insurance Cos.","Bloomington, IL","Insurance: Property and Casualty (Mutual)","IL","Bloomington"
-77.1773,38.9339,"Freddie Mac","McLean, VA","Diversified Financials","VA","McLean"
-75.1652,39.9526,"Comcast","Philadelphia, PA","Telecommunications","PA","Philadelphia"
-73.7146,41.0409,"PepsiCo","Purchase, NY","Food Consumer Products","NY","Purchase"
